s_opt,s_corsika
1.369098343408368,1.4065095
1.2124011084539317,1.3977774
1.3013543624573976,1.3512228
1.2916091170652915,1.2585242
1.2,1.3375745
1.2,1.4135932
1.2,1.4274497
1.4633057676898222,1.3024863
1.2,1.4352205
1.2,1.3061184
1.4306046195130875,1.3717531
1.2026322139366736,1.3515818
1.2,1.4328462
1.2,1.3994932
1.2,1.3113327
1.2,1.4252194
1.2,1.4714433
1.2,1.2597996
1.2,1.2624218
1.2,1.2542369
1.5,1.2567357
1.2,1.3248719
1.449629084948515,1.4644053
1.2,1.3368701
1.2121015214627715,1.3901379
1.482022485314207,1.3771484
1.2,1.2612774
1.2,1.3539882
1.2,1.3199927
1.5,1.3311741
1.2680547411818357,1.4185371
1.2,1.3836694
1.2,1.3258059
1.2,1.4634383
1.5,1.4063843
1.2,1.265602
1.5,1.4019703
1.4971376701403818,1.3895007
1.25501262094822,1.3777423
1.2,1.4389597
1.3180086080109068,1.4021751
1.3187310630892792,1.4104457
1.302755863111172,1.4413668
1.3711736845053044,1.3733323
1.5,1.4944688
1.2011672697216091,1.4313141
1.5,1.4259268
1.2,1.3788443
1.276141603497648,1.3850757
1.2,1.3803643
1.3726906484709296,1.3849134
1.5,1.4522828
1.5,1.4780743
1.2,1.3800706
1.2030088173109628,1.3910463
1.2,1.3365402
1.4070185252995617,1.3875043
1.2152253793806358,1.4450157
1.3155318002963208,1.3929614
1.2,1.3547453
1.499123214418901,1.2732286
1.2,1.1930687
1.2,1.3787818
1.5,1.4192888
1.2,1.4106547
1.4195908525171452,1.4072515
1.2,1.3442016
1.2,1.3976982
1.2,1.4670881
1.24031521508609,1.3631835
1.48911068165852,1.3615359
1.382257890814571,1.2753878
1.2742204620547948,1.3677608
1.4232276424028767,1.4305433
1.4035057581819095,1.3853483
1.2,1.4298166
1.2,1.3856945
1.2,1.2605499
1.2787570967336652,1.3183637
1.2,1.4752768
1.3253098332466533,1.3672684
1.3494294350734775,1.4280328
1.4372624634166395,1.4071194
1.4779320908604756,1.4813476
1.2,1.3395267
1.2,1.4241577
1.3675413689995533,1.3282793
1.2,1.2714826
1.2004268585256248,1.3053305
1.2093606680961726,1.3245122
1.2,1.3543057
1.3127581672446242,1.4245425
1.2,1.4316047
1.254924574533423,1.3374834
1.2284451575751822,1.3565707
1.3323167365841568,1.4559252
1.2,1.3333918
1.2,1.4013052
1.3286101740802054,1.4267496
1.4204827362193602,1.4724026
1.2034560118248043,1.4412615
1.2559196807565718,1.4496168
1.2,1.399086
1.2553946606225521,1.4103132
1.2,1.4278449
1.2776883258606038,1.3418548
1.2,1.4091283
1.2,1.4435343
1.2,1.3286736
1.477976873502842,1.4162056
1.457249199643925,1.3915775
1.4735635856251366,1.321281
1.3681142727822742,1.4414798
1.2,1.3627899
1.2,1.4626077
1.5,1.3980176
1.2,1.3724041
1.4812505788704002,1.3935976
1.2,1.3487568
1.2,1.4251512
1.2,1.3475136
1.2,1.472412
1.3453776293283728,1.362525
1.3375005344473547,1.3322088
1.5,1.4127053
1.4399365615930828,1.3825448
1.3377839692323181,1.4187366
1.5,1.4104277
1.2,1.4060814
1.3016888746117643,1.3756487
1.2,1.4583533
1.2041707096759502,1.4710387
1.2,1.4611466
1.2,1.3679122
1.2,1.404376
1.2,1.3602405
1.2,1.3274044
1.2,1.4050152
1.2,1.4279302
1.5,1.4545019
1.3754872362915318,1.3158014
1.2,1.3687379
1.2720277291351987,1.4137796
1.2,1.2901844
1.3475335308686744,1.4451344
1.2,1.408656
1.2184142927510635,1.3734419
1.40232778025336,1.4253143
1.2,1.4252136
1.4928052621749448,1.4890085
1.2,1.3113598
1.2,1.1473697
1.3296622349248564,1.4002547
1.2,1.2998427
1.219943498576263,1.3179504
1.3758420704843006,1.4672643
1.4851528383665553,1.4191512
1.2,1.2146697
1.2,1.3043983
1.2,1.3796604
1.2344088169859366,1.3600053
1.2,1.2802651
