NRUN	NEvent	NtrackX	NtrackY	Ntrack	Theta	Phi	IdEv	Nview	Sdet
811	81122	9	9	8	71.75	215.51	0	8	37.9034
811	87674	5	6	5	51.69	225.88	0	6	29.3019
811	91610	7	5	5	41.06	143.19	0	7	25.323
811	102858	7	7	7	49.92	129.23	0	7	27.4852
811	103834	6	6	5	55.42	155.02	0	6	32.8799
811	108602	5	5	5	57.88	145.77	0	5	33.5538
811	112461	5	3	3	55.28	126.51	0	5	28.995
811	112914	24	22	20	45.78	222.96	0	22	27.0481
811	112936	5	5	5	51.26	244.5	0	5	23.9836
811	113426	6	6	6	45.92	221.4	0	6	27.3433
811	114469	6	5	5	48.66	195.24	0	5	29.1807
811	117148	6	6	6	57.66	157.45	0	6	33.7479
811	118671	6	4	4	47.76	231.54	0	6	26.3445
811	132608	5	5	5	40.58	195.92	0	5	25.0543
811	135157	6	4	4	48.61	111.69	0	6	21.6081
811	146384	9	7	7	49.26	113.21	0	8	22.4117
811	147495	15	12	12	45.26	220.38	0	13	27.1476
811	153569	5	4	4	60.95	209.63	0	5	35.0227
811	157785	15	13	13	49.21	160.62	0	14	29.8172
811	158884	8	6	6	43.94	135.64	0	8	25.9096
811	159159	7	7	7	44.45	239.17	0	7	22.8929
811	165185	9	8	7	40.76	206.69	0	7	25.6254
811	187111	5	5	5	47.85	217.26	0	5	28.7989
811	204348	32	24	23	45.2	119.33	0	19	22.7905
811	234912	11	12	11	48.49	209.53	0	11	29.6424
811	236262	5	5	5	46.61	145.52	0	5	28.4345
811	237944	9	10	9	57.54	240.7	0	9	27.5605
811	243251	10	10	10	45.35	116.47	0	10	21.9758
811	243768	5	5	5	60.23	149.48	0	5	34.7155
811	249090	5	4	4	60.04	202.36	0	5	34.6717
811	250579	9	8	8	43.34	140.29	0	9	26.2428
811	251022	7	7	7	52.11	217.66	0	6	30.7568
811	251039	5	5	5	45.6	205.26	0	5	28.2291
811	251696	9	7	7	65.34	157.24	0	8	36.545
811	267674	6	7	6	56.36	158.83	0	6	33.1506
811	294892	6	6	6	46.8	244.25	0	6	22.3378
811	306468	4	5	4	47.78	138.68	0	5	28.2658
811	307961	25	20	20	58.49	214.91	0	26	33.7325
811	310272	6	5	5	50.47	132.81	0	5	28.5058
811	313860	5	5	4	41.37	127.5	0	5	23.0904
811	314516	11	11	11	51.65	151.01	0	11	31.1681
811	336152	6	6	6	64.72	131.98	0	6	33.6919
811	340882	6	6	6	53.79	146.74	0	6	31.9186
811	345685	5	5	5	41.1	226.49	0	5	24.1024
811	362258	22	18	18	45.03	227.44	0	21	25.9188
811	365501	5	4	4	40.14	139.37	0	5	24.4255
811	386602	5	5	5	46.05	197.02	0	5	28.061
811	390584	5	5	5	51.75	164.5	0	5	30.6642
811	395315	4	5	4	57.66	124.23	0	5	29.2122
811	408879	5	5	5	42.83	107.58	0	5	17.8895
811	411926	17	15	15	46.14	214.3	0	16	28.2101
811	419034	6	5	5	58.85	148.05	0	5	34.1071
811	429602	7	6	6	55.88	216.6	0	7	32.5075
811	429828	6	7	5	73.73	212.05	0	7	38.6884
811	430574	5	5	5	42.35	223.79	0	5	25.1813
811	439193	5	4	4	59.51	219.49	0	5	33.5743
811	459150	5	5	5	44.65	245.58	0	5	21.0196
811	475752	5	5	5	51.35	156.58	0	5	31.0293
811	477938	8	9	7	41.82	138.88	0	8	25.27
811	486943	7	6	6	50.17	148.1	0	6	30.3506
811	491461	6	6	6	42.71	115.48	0	6	20.5442
811	497582	5	5	5	60.63	213.88	0	5	34.6391
811	498266	8	6	6	41.95	115.04	0	7	20.0796
811	526575	6	6	6	40.55	196.98	0	5	25.1306
811	550203	7	7	7	52.65	150.16	0	7	31.5982
811	569046	9	8	8	47.6	151.74	0	8	29.2334
811	583298	5	5	5	49.24	216.55	0	5	29.5438
811	583703	6	6	6	46.05	203.72	0	6	28.4363
811	584301	5	4	4	54.53	233.91	0	5	28.5903
811	588231	10	8	7	53.34	238.66	0	5	26.7275
812	12931	10	9	8	40.31	213.95	0	11	25.1279
