delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.10818372299118373,-0.186408795459308
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17543370000000014,-0.19002055801323517
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12187950000000014,0.16767020300736096
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.24803189999999997,-0.3589754199543007
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17945070000000007,0.17958499881882972
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.09718920000000009,0.28932624654953915
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.20082983464646764,-0.005677509684052326
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12446179999999996,0.5138840968568401
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12389830000000002,0.08794524265173222
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1807175000000001,0.10170870038075382
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1789866,0.1698500183519801
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.20721199999999995,0.12243564613295449
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.07828389999999996,0.5776221915107824
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.06738314442833526,0.5838446328303166
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.08283555242849738,0.5420929613456147
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.24303560000000002,0.11828255014521308
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1897333000000001,-0.12712393209990844
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.19725441436638924,-0.11343138154415079
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1153379000000001,0.8386067552799696
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.06745559999999995,0.08594719955417943
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.05822895610976464,0.603479823321505
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.059130187842437065,-0.006053672772828661
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1424909000000001,0.8638864804765197
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.10568440000000012,-0.08814752592432674
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.03251254546140592,0.22981785252786655
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2048162,0.19592553733451085
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.009972944321854804,0.43759606929636463
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.15174949999999998,0.17537851457147702
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11333110000000013,0.5092844228928509
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.19391179999999997,0.04160345221175686
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2594489,-0.47525242605671214
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1891388910933558,0.2503407808815271
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.06924777824259798,0.47133419700878304
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2590076000000001,-0.19346704761771655
